Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
           1106	       549	00100094	00054783	lbu	x15,0(x10)	 x10:0x00100488 x15=0x00000050 PA:0x00100488 load:0x00000050
           1110	       551	00100098	e399	c.bnez	x15,10009e	 x15:0x00000050
           1114	       553	0010009e	0505	c.addi	x10,1	 x10:0x00100488 x10=0x00100489
           1116	       554	001000a0	c31c	c.sw	x15,0(x14)	 x14:0x00020000 x15:0x00000050 PA:0x00020000 store:0x00000050
           1118	       555	001000a2	bfcd	c.j	100094	
           1122	       557	00100094	00054783	lbu	x15,0(x10)	 x10:0x00100489 x15=0x00000041 PA:0x00100489 load:0x00000041
           1126	       559	00100098	e399	c.bnez	x15,10009e	 x15:0x00000041
           1130	       561	0010009e	0505	c.addi	x10,1	 x10:0x00100489 x10=0x0010048a
           1132	       562	001000a0	c31c	c.sw	x15,0(x14)	 x14:0x00020000 x15:0x00000041 PA:0x00020000 store:0x00000041
           1134	       563	001000a2	bfcd	c.j	100094	
           1138	       565	00100094	00054783	lbu	x15,0(x10)	 x10:0x0010048a x15=0x00000053 PA:0x0010048a load:0x00000053
           1142	       567	00100098	e399	c.bnez	x15,10009e	 x15:0x00000053
           1146	       569	0010009e	0505	c.addi	x10,1	 x10:0x0010048a x10=0x0010048b
           1148	       570	001000a0	c31c	c.sw	x15,0(x14)	 x14:0x00020000 x15:0x00000053 PA:0x00020000 store:0x00000053
           1150	       571	001000a2	bfcd	c.j	100094	
           1154	       573	00100094	00054783	lbu	x15,0(x10)	 x10:0x0010048b x15=0x00000053 PA:0x0010048b load:0x00000053
           1158	       575	00100098	e399	c.bnez	x15,10009e	 x15:0x00000053
           1162	       577	0010009e	0505	c.addi	x10,1	 x10:0x0010048b x10=0x0010048c
           1164	       578	001000a0	c31c	c.sw	x15,0(x14)	 x14:0x00020000 x15:0x00000053 PA:0x00020000 store:0x00000053
           1166	       579	001000a2	bfcd	c.j	100094	
           1170	       581	00100094	00054783	lbu	x15,0(x10)	 x10:0x0010048c x15=0x0000000a PA:0x0010048c load:0x0000000a
           1174	       583	00100098	e399	c.bnez	x15,10009e	 x15:0x0000000a
           1178	       585	0010009e	0505	c.addi	x10,1	 x10:0x0010048c x10=0x0010048d
           1180	       586	001000a0	c31c	c.sw	x15,0(x14)	 x14:0x00020000 x15:0x0000000a PA:0x00020000 store:0x0000000a
           1182	       587	001000a2	bfcd	c.j	100094	
           1186	       589	00100094	00054783	lbu	x15,0(x10)	 x10:0x0010048d x15=0x00000000 PA:0x0010048d load:0x00000000
           1190	       591	00100098	e399	c.bnez	x15,10009e	 x15:0x00000000
           1192	       592	0010009a	4501	c.li	x10,0	 x10=0x00000000
           1194	       593	0010009c	8082	c.jr	x1	  x1:0x0010041c
           1198	       595	0010041c	57fd	c.li	x15,-1	 x15=0xffffffff
           1200	       596	0010041e	32079073	csrrw	x0,mcountinhibit,x15	 x15:0xffffffff  x0=0x00000000
           1206	       599	00100422	40f2	c.lwsp	x1,28(x2)	  x2:0x00137fe0  x1=0x001003b4 PA:0x00137ffc load:0x001003b4
           1208	       600	00100424	4462	c.lwsp	x8,24(x2)	  x2:0x00137fe0  x8=0x00000000 PA:0x00137ff8 load:0x00000000
           1210	       601	00100426	4501	c.li	x10,0	 x10=0x00000000
           1212	       602	00100428	6105	c.addi16sp	x2,32	  x2:0x00137fe0  x2=0x00138000
           1214	       603	0010042a	8082	c.jr	x1	  x1:0x001003b4
           1218	       605	001003b4	000202b7	lui	x5,0x20	  x5=0x00020000
           1220	       606	001003b8	02a1	c.addi	x5,8	  x5:0x00020000  x5=0x00020008
           1222	       607	001003ba	4305	c.li	x6,1	  x6=0x00000001
           1224	       608	001003bc	0062a023	sw	x6,0(x5)	  x5:0x00020008  x6:0x00000001 PA:0x00020008 store:0x00000001
